Year,Title,Origin,Director,Cast,Genre,Plot
1901,"kansas saloon smashers","american","unknown","","otros","bartender is working saloon serving drinks customers after he fills stereotypically irish man's bucket beer carrie nation her followers burst inside they assault irish man pulling his hat over his eyes then dumping beer over his head group then begin wrecking bar smashing fixtures mirrors breaking cash register bartender then sprays seltzer water nation's face before group policemen appear order everybody leave1"
1901,"love by light moon","american","unknown","","otros","moon painted smiling face hangs over park night young couple walking past fence learn railing look up moon smiles they embrace moon's smile gets bigger they then sit down bench by tree moon's view is blocked causing him frown last scene man fans woman his hat because moon has left sky is perched over her shoulder see everything better"
1901,"martyred presidents","american","unknown","","otros","film just over minute long is composed two shots first girl sits base altar or tomb her face hidden from camera center altar viewing portal displays portraits three us presidentsabraham lincoln james garfield william mckinleyeach victims assassination"
1901,"terrible teddy grizzly king","american","unknown","","otros","lasting just 61 seconds consisting two shots first shot is set wood during winter actor representing then vice-president theodore roosevelt enthusiastically hurries down hillside towards tree foreground he falls once but rights himself cocks his rifle two other men bearing signs reading his photographer his press agent respectively follow him into shot photographer sets up his camera teddy aims his rifle upward tree fells what appears be common house cat which he then proceeds stab teddy holds his prize aloft press agent takes notes second shot is taken slightly different part wood path teddy rides path his horse towards camera out left shot followed closely by press agent photographer still dutifully holding their signs"
1902,"jack beanstalk","american","george s fleming edwin s porter","","otros","earliest known adaptation classic fairytale this films shows jack trading his cow beans his mother forcing him drop them front yard beig forced upstairs as he sleeps jack is visited by fairy who shows him glimpses what will await him when he ascends bean stalk this version jack is son deposed king when jack wakes up he finds beanstalk has grown he climbs top where he enters giant's home giant finds jack who narrowly escapes giant chases jack down bean stalk but jack is able cut it down before giant can get safety he falls is killed as jack celebrates fairy then reveals that jack may return home as prince"
1903,"alice wonderland","american","cecil hepworth","may clark","otros","alice follows large white rabbit down rabbit-hole she finds tiny door when she finds bottle labeled drink me she does shrinks but not enough pass through door she then eats something labeled eat me grows larger she finds fan when enables her shrink enough get into garden try get dog play her she enters white rabbit's tiny house but suddenly resumes her normal size order get out she has use magic fan"
1903,"great train robbery","american","edwin s porter","","western","film opens two bandits breaking into railroad telegraph office where they force operator gunpoint have train stopped transmit orders engineer fill locomotive's tender station's water tank they then knock operator out tie him up as train stops it is boarded by banditsnow four two bandits enter express car kill messenger open box valuables dynamite others kill fireman force engineer halt train disconnect locomotive bandits then force passengers off train rifle them their belongings one passenger tries escape but is instantly shot down carrying their loot bandits escape locomotive later stopping valley where their horses had been left"
1904,"suburbanite","american","wallace mccutcheon","","comedy","film is about family who move suburbs hoping quiet life things start go wrong wife gets violent starts throwing crockery leading her arrest"
1905,"little train robbery","american","edwin stanton porter","","otros","opening scene shows interior robbers' den walls are decorated portraits notorious criminals pictures illustrating exploits famous bandits some gang are lounging about while others are reading novels illustrated papers although youthful appearance each is dressed like typical western desperado bandit queen leading blindfolded new recruit now enters room he is led center room raises his right hand is solemnly sworn when bandage is removed from his eyes he finds himself looking into muzzles dozen or more 45's gang then congratulates new member heartily shake his hand bandit queen who is evidently leader gang now calls volunteers hold up train all respond but she picks out seven job who immediately leave cabin"
In the meantime the police have learned the particulars of the hold-up from the frightened passengers and have started up the railroad tracks after the fleeing robbers. The robbers are next seen riding up the bed of a shallow stream and finally reach their den,"where remainder gang have been waiting them believing they have successfully eluded their pursuers","they proceed divide plunder police","however","have struck right trail are close pursuit while plunder is being divided sentry gives alarm entire gang","abandoning everything","are obliged take chances foot police now get sight fleeing robbers lively chase follows through tall weeds"
1905,"night before christmas","american","edwin stanton porter","","otros","scenes are introduced using lines poem2 santa claus played by harry eytinge is shown feeding real reindeer4 finishes his work workshop meanwhile children city household hang their stockings go bed but unable sleep they engage pillow fight santa claus leaves his home sleigh his reindeer he enters children's house through chimney leaves presents children come down stairs enjoy their presents"
